Unnamed: 0,Ten_quan,Mo_hinh,Dia_chi,Gio_mo_cua,Phong_cach,Gia,Huong_di,Doi_tac,Mon_an_noi_bat,Link_drive
101,The Umee ,Ăn Vặt,272 Phan Đình Phùng,10:00 - 22:00,Hiện đại,~30K - 75K,Trung Tâm,,"Chân gà, bánh tráng, trà sữa",The Umee 
102,Đồ chiên Kun Kun,Ăn Vặt,9 Nhà Chung,15:00 - 22:00,Hiện đại,~25k,Trung Tâm,,"Bánh Gạo phô mai, Cút sốt me",Đồ chiên Kun Kun
103,Kem bơ Thanh Thảo,Ăn Vặt,76 Nguyễn Văn Trỗi,08: 00 - 22:30,Hiện đại,~25k,Trung Tâm,,"Kem bơ, kem trái cây",Kem bơ Thanh Thảo
104,Lẩu xiên nhúng Yersin 1K,Ăn Vặt,25 Tôn Thất Tùng,14:30 - 18: 30,Vintage,~25k,Trung Tâm,,"Cá viên chiên, mì trộn",Lẩu xiên nhúng Yersin 1K
105,"Bánh tráng, tré trộn Hoàng Tử",Ăn Vặt,100 Nguyễn Văn Trỗi,09: 15 - 22: 40,Hiện đại,~20k,Trung Tâm,,"Bánh tráng, tré trộn","Bánh tráng, tré trộn Hoàng Tử"
106,Bông Lan trứng nướng Kimi,Ăn Vặt,21 Nguyễn Văn Trỗi,16:00 - 22:00,Hiện đại,~35k,Trung Tâm,,Bánh bông lan các loại,Bông Lan trứng nướng Kimi
107,Bánh tráng nướng Dì Đinh,Ăn Vặt,26 Hoàng Diệu,13:30 - 20:00,Hiện đại,~20k,Trung Tâm,,"Sữa nóng, bánh tráng",Bánh tráng nướng Dì Đinh
108,Cháo Lòng Di Linh 2,Ăn Vặt,1 Lữ Gia,06:00 - 20:30,Hiện đại,~40k,Trung Tâm,,Cháo lòng,Cháo Lòng Di Linh 2
109,Quán súp cua Ngọc Đồng,Ăn Vặt,41 Ba Tháng Hai,09:00 - 21:00,Hiện đại,~25k,Trung Tâm,,Súp cua,Quán súp cua Ngọc Đồng
110,Yaourt phô mai tươi Ngọc Nhung,Ăn Vặt,"Chùa Tàu, Khe Sanh",08:00 - 18:00,Hiện đại,~10k,Đèo Mimosa,,"Yaourt, bánh flan",Yaourt phô mai tươi Ngọc Nhung
111,Quán sữa đậu nành Hoa Sữa,Ăn Vặt,64 Tăng Bạt Hổ,15:00 - 01:00,Hiện đại,~15k,Trung Tâm,,Sữa đậu nành,Quán sữa đậu nành Hoa Sữa
112,Quán Chè Bà Triệu,Ăn Vặt,15 Bà Triệu,10:00 - 21:30,Hiện đại,~35K,Trung Tâm,,Chè,Quán Chè Bà Triệu
113,Tiệm Mì Tàu Cao ,Ăn Sáng,217 Phan Đình Phùng ,06:00 - 19:00,Vintage,~45K,Trung Tâm,,Mì hoành thánh Trứ Danh,Tiệm Mì Tàu Cao 
114,Tiệm Ăn Bếp Đà Lạt,Ăn Vặt,89 Hoàng Hoa Thám,06:00 - 22:30,Hiện đại,~29K - 55K,Trung Tâm,,"Bánh tráng trộn, đồ chiên, mì cay",Tiệm Ăn Bếp Đà Lạt
115,Cút Kit BBQ & Beer ,Ăn Vặt,145 Phan Bội Châu,16:00 - 22:00,Vintage,~197K,Trung Tâm,,"Kem bơ, nước ép",Cút Kit BBQ & Beer 
116,Chạm kem bơ ,Ăn Vặt,27 Nguyễn Trãi,09:00 - 22:30,Hiện đại,~29K - 65K,Trung Tâm,,Kem bơ dừa,Chạm kem bơ 
117,Trà sữa & Ăn vặt 8678,Ăn Vặt,244 Bùi Thị Xuân,08:30 - 22:00,Hiện đại,~40K,Trung Tâm,,"Bánh tráng trộn, đồ chiên, mì cay",Trà sữa & Ăn vặt 8768
118,Ốc Gánh Đà Lạt,Ăn Vặt,Khu chợ đêm Đà Lạt,19:00 - 01:00,Vintage,~35K,Trung Tâm,,"Ốc xào dừa, nghêu hấp sả,...",Ốc Gánh Đà Lạt
119,Kem dâu tây,Ăn Vặt,242D Phan Đình Phùng,08:00 - 22:00,Hiện đại,~35K,Trung Tâm,,Kem dâu,Kem dâu tây
120,Quán Hạnh Sữa,Ăn Vặt,Ngã 3 Việt Anh,16:00 - 00:00,Hiện đại,~15K,Trung Tâm,,Sữa nóng,Quán Hạnh Sữa
121,Bắp Nướng Bờ Hồ,Ăn Vặt,9 Trần Quốc Toản,16:00 - 00:00,Vintage,~20K,Trung Tâm,,"Bắp, khoai, sữa nóng",Bắp Nướng Bờ Hồ
122,Súp Cua Ông Già,Ăn Vặt,83 Ngô Quyền,19:00 - 00:00,Hiện đại,~30K,Trung Tâm,,Súp cua,Súp Cua Ông Già
123,Kem bơ Nari,Ăn Vặt,74C Nguyễn Văn Trỗi,08:00 - 22: 00,Hiện đại,~25K,Trung Tâm,,"Kem bơ, kem trái cây, chè",Kem bơ Nari
124,Cháo Ếch Singapore ,Ăn Vặt,151 Bùi Thị Xuân,10:30 - 22:00,Vintage,~50K,Trung Tâm,,"Cháo ếch, chè khúc bạch",Cháo Ếch Singapore 
126,Xích Lô Quán,Ăn Tối,11/2 Nguyễn Văn Cừ,10:00 - 23:00,Vintage,~95k - 125k,Trung Tâm,,"Mì, súp, Salad, Hải sản nướng",Xích Lô Quán
127,Tiệm Nướng Trong Rừng,Ăn Tối,3 Bis Đống Đa,11:00 - 22:00,Vintage,~115k - 395k,Đèo Prenn,X,Set lẩu nướng Trong Rừng,Tiệm Nướng Trong Rừng
128,Tiệm Nướng Màu Vàng,Ăn Tối,05 Khe Sanh,11:00 - 23:00,Vintage,~115k - 395k,Đèo Mimosa,X,Set Lẩu Nướng,Tiệm Nướng Màu Vàng
129,Vị Bản,Ăn Tối,Huỳnh Tấn Phát,14:00 - 22:00,Vintage,~115k - 395k,Trại Mát - Cầu Đất,X,Set Lẩu Nướng Vị Bản,Vị Bản
